Age,Salary,Height,Gender,Marital Status,Education Level,Job Satisfaction,City,Province
47.45728398914603,25867.75870933382,40.880220383012954,Female,Married,Bachelor's,Low,Malang,Jawa Timur
39.2025640847746,31171.212402914996,42.93421685631418,Female,Single,Bachelor's,Low,Pontianak,Kalimantan Barat
49.419950995309,26938.4380509639,76.93704781345117,Female,Divorced,Bachelor's,High,Depok,Jawa Barat
60.79938813330433,38376.82433650701,33.34649371394147,Female,Divorced,PhD,High,Bogor,Jawa Barat
37.956006128596634,66077.87606011976,89.83453477569017,Male,Divorced,Master's,High,Pontianak,Kalimantan Barat
37.95621955966065,24698.03392894104,69.78809851551509,Female,Divorced,Bachelor's,High,Makassar,Sulawesi Selatan
61.52976660159609,59898.71005425165,100.49753304045693,Female,Divorced,PhD,High,Tangerang,Banten
50.97665147898781,24567.113153117443,-2.6996452620554976,Male,Married,PhD,High,Batam,Kepulauan Riau
34.89683298284562,23770.16243040922,58.30312381088973,Female,Single,Bachelor's,Medium,Batam,Kepulauan Riau
48.05328056661754,54682.40697546296,-28.920963622995004,Female,Married,Master's,High,Yogyakarta,DI Yogyakarta
34.97556999343799,57582.166478907806,25.732759607845225,Male,Married,Master's,High,Depok,Jawa Barat
34.94551320358666,55587.018256486015,37.67189237570787,Female,Married,PhD,High,Pekanbaru,Riau
44.145509530358446,18809.198214426735,68.00626476175088,Male,Single,Master's,High,Semarang,Jawa Tengah
16.12735681944863,28768.160344436365,79.61078013483548,Female,Single,PhD,High,Malang,Jawa Timur
18.576068177330573,54802.67556930652,35.2227907082534,Male,Married,Master's,Medium,Bogor,Jawa Barat
33.690262119867356,37077.69742582291,53.694456570522874,Female,Single,Bachelor's,Medium,Pontianak,Kalimantan Barat
27.83319543565249,21229.639564449917,86.46105147086396,Male,Married,Master's,Medium,Medan,Sumatera Utara
45.08521532373856,45668.26746759594,90.42291034171099,Female,Married,Bachelor's,Low,Medan,Sumatera Utara
29.19568701822426,25402.334811743356,77.48184119139944,Female,Divorced,Bachelor's,High,Yogyakarta,DI Yogyakarta
22.64005188264121,89077.53276980112,-13.618869823243898,Male,Single,PhD,Medium,Depok,Jawa Barat
60.0534339959802,78623.09236099463,-31.054955217512287,Male,Divorced,Bachelor's,High,Balikpapan,Kalimantan Timur
38.06490809367504,49121.33364362844,45.375773316482025,Male,Married,PhD,High,Medan,Sumatera Utara
41.87786666094301,71718.45263372501,47.099320157194086,Female,Married,Bachelor's,Medium,Jakarta,DKI Jakarta
22.47827357922506,37511.23154800276,61.24137322702876,Male,Married,Bachelor's,Medium,Tangerang,Banten
33.923024581172626,53248.17161893342,76.8869633708604,Female,Divorced,Bachelor's,High,Malang,Jawa Timur
42.44199366622826,76028.24140299177,4.602526131916335,Male,Divorced,Master's,High,Malang,Jawa Timur
26.037083493510064,41058.34327573733,-15.878398398478453,Female,Married,Master's,Low,Samarinda,Kalimantan Timur
45.88407423849374,31965.30625947567,75.87164107411085,Female,Divorced,Bachelor's,Medium,Bogor,Jawa Barat
33.19169703105553,15485.958992580787,54.02544520183494,Male,Married,PhD,High,Denpasar,Bali
37.207981252687404,34836.92746255226,64.35695856436601,Female,Married,Bachelor's,Low,Denpasar,Bali
33.17781404101784,54814.58528073529,63.550827174768756,Male,Divorced,PhD,High,Malang,Jawa Timur
65.0796163986162,58268.488125606775,11.860887164145026,Male,Single,Bachelor's,Medium,Malang,Jawa Timur
40.82453607840686,46731.9111635883,85.83923309814854,Male,Married,Bachelor's,High,Denpasar,Bali
27.249757923573295,27704.50882843283,37.07435384324913,Female,Married,PhD,Medium,Palembang,Sumatera Selatan
51.693083857341456,13515.456231064,28.317365965867765,Female,Divorced,PhD,Low,Yogyakarta,DI Yogyakarta
25.12903255037671,28350.287522671173,55.74684667619616,Female,Divorced,Master's,High,Denpasar,Bali
43.71522673506182,31189.212614370805,22.56336391195549,Female,Divorced,PhD,Medium,Jakarta,DKI Jakarta
15.52428838956292,31055.633882856106,47.138792662202036,Male,Married,Bachelor's,Low,Bandung,Jawa Barat
23.733581364320404,49477.741387647,10.682408287830413,Female,Single,PhD,Low,Tangerang,Banten
43.559196066298604,98011.31454286895,90.54002700388193,Male,Single,Master's,Medium,Tangerang,Banten
50.60006553994033,38629.233019016436,61.586587751432205,Female,Single,Bachelor's,High,Tangerang,Banten
43.22778765546962,32585.872203135492,53.70320928883598,Female,Married,Bachelor's,Medium,Semarang,Jawa Tengah
39.49657232895287,31900.88698305917,113.03040949692817,Female,Divorced,Bachelor's,Low,Pekanbaru,Riau
37.085651957339245,38645.76146521535,80.56056136030772,Female,Single,PhD,Medium,Bekasi,Jawa Barat
21.779214125223444,24001.056275140665,73.87415868612402,Male,Single,Bachelor's,Low,Semarang,Jawa Tengah
31.642025290868787,38564.95646032961,20.595829019922604,Female,Single,Bachelor's,Low,Semarang,Jawa Tengah
35.01169597752276,45497.20471268966,71.15226855968211,Male,Married,PhD,Low,Makassar,Sulawesi Selatan
54.742588940845906,40329.68316553128,73.98711009671803,Male,Divorced,Bachelor's,Low,Balikpapan,Kalimantan Timur
45.46703776439,45650.55150003525,25.225397834079047,Female,Divorced,PhD,High,Surabaya,Jawa Timur
18.08047798028446,45110.657450193015,92.61528313889306,Female,Divorced,PhD,Low,Depok,Jawa Barat
45.21309160213234,14973.7157375722,101.92316652804543,Male,Divorced,Master's,Low,Balikpapan,Kalimantan Timur
35.99393035458789,49932.884824188695,61.940943400683466,Female,Single,Bachelor's,Low,Yogyakarta,DI Yogyakarta
